Play,Year_of_creation,Num_of_segments,Num_of_acts,Female_part,Male_part,Female_words,Male_words,Mean_len_fem_re,Mean_len_male_re,Max_weight,Max_degree,Density,Num_of_char,Chars_with_max_degree,Average_clust_coef,Genre
mayakovsky-banja,1929,34,6,0.25,0.75,0.17,0.83,15.5,25.75,11,17,0.44,23,IvanIvanovich,0.83,drama
naydyonov-deti-vanjushina,1901,4,4,0.59,0.41,0.47,0.53,8.77,14.18,4,15,0.88,16,Klavdija|Konstantin|ArinaIvanovna|Anja|Avdotja|Vanjushin|Katja|Akulina,0.93,drama
ostrovsky-bednost-ne-porok,1854,37,3,0.41,0.59,0.33,0.67,13.84,19.21,9,17,0.85,18,Razljuljaev|PelagejaEgorovna|Mitja,0.92,comedy
ostrovsky-bespridannitsa,1878,44,4,0.27,0.73,0.29,0.71,12.84,11.9,14,10,0.98,11,Ogudalova|Ilja|Ivan|Robinzon|Paratov|Vozhevatov|Knurov|Karandyshev|Larisa,0.98,drama
ostrovsky-groza,1859,34,5,0.43,0.57,0.48,0.52,18.63,15.13,12,20,0.37,23,Kabanova,0.83,drama
ostrovsky-snegurochka,1873,28,5,0.38,0.62,0.4,0.6,23.64,21.82,9,30,0.26,40,Snegurochka,0.86,other
ostrovsky-svoi-ljudi,1850,35,4,0.42,0.58,0.4,0.6,17.05,18.54,10,7,1.0,8,None,1.0,comedy
ostrovsky-volki-i-ovtsy,1875,53,5,0.48,0.52,0.48,0.52,11.65,11.72,9,15,0.46,18,Pavlin,0.85,comedy
plavilshchikov-sgovor-kutejkina,1789,12,0,0.32,0.68,0.28,0.72,13.47,16.49,8,8,1.0,9,None,1.0,comedy
prutkov-blondy,1854,5,0,0.48,0.52,0.41,0.59,12.22,16.21,4,2,1.0,3,None,1.0,other
prutkov-chereposlov-sirech-frenolog,1860,3,0,0.23,0.77,0.16,0.84,8.42,13.06,3,8,1.0,9,None,1.0,other
prutkov-spor-drevnih-grecheskih-filosofov-ob-izjaschnom,1854,1,0,0.0,1.0,0.0,1.0,0,6.72,1,1,1.0,2,None,0.0,drama
pushkin-boris-godunov,1831,22,0,0.1,0.9,0.09,0.91,21.09,23.7,3,29,0.11,79,Tsar_Boris,0.89,other
pushkin-kamenniy-gost,1839,10,0,0.3,0.7,0.3,0.7,15.01,15.0,4,6,0.45,11,DonGuan|Laura|DonKarlos,0.86,other
pushkin-mocart-i-saleri,1831,2,0,0.0,1.0,0.0,1.0,0,32.4,2,1,1.0,2,None,0.0,other
pushkin-pir-vo-vremja-chumy,1832,2,0,0.24,0.76,0.26,0.74,52.67,48.37,2,6,0.71,7,Predsedatel|Mnogie,0.89,other
pushkin-rusalka,1837,6,0,0.43,0.57,0.47,0.53,28.68,24.87,2,14,0.37,18,Knjaz,0.83,other
pushkin-skupoj-rytsar,1836,3,0,0.0,1.0,0.0,1.0,0,25.23,1,4,0.6,5,Alber,0.87,other
pushkin-stseny-iz-rytsarskih-vremen,1837,14,0,0.11,0.89,0.1,0.9,11.32,12.83,5,21,0.43,23,Frants,0.8,other
shakhovskoy-ne-lubo-ne-slushai,1818,16,0,0.36,0.64,0.28,0.72,10.81,15.97,7,6,0.86,7,Zarnitskin|Dashenka|Mitjaj,0.91,comedy
shakhovskoy-pustodomy,1819,36,5,0.34,0.66,0.35,0.65,9.83,9.68,11,10,0.79,12,Radimov|Grafinja|Foma|Knjaz|Inkvartus|Vanjusha|Knjaginja,0.89,comedy
shakhovskoy-svoya-semya,1818,25,3,0.57,0.43,0.62,0.38,13.94,11.32,12,7,1.0,8,None,1.0,comedy
