"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density";"file";"author"
"78";"Orlovskij";1,25555555555556;0,0833333333333333;87;12;12;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"79";"Julja";1,25555555555556;0,0833333333333333;71;12;12;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"80";"MarjaVasilevna";0;0,0714285714285714;29;10;14;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"81";"ElenaAndreevna";0,222222222222222;0,0769230769230769;54;11;13;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"82";"FedorIvanovich";1,25555555555556;0,0833333333333333;59;12;12;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"83";"Semen";0;0,0666666666666667;13;9;15;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"84";"Serebrjakov";0,222222222222222;0,0769230769230769;62;11;13;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"85";"Hruschov";0,222222222222222;0,0769230769230769;51;11;13;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"86";"Vasilij";0;0,0555555555555556;6;6;18;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"87";"Zheltuhin";1,25555555555556;0,0833333333333333;58;12;12;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"88";"Popova";0;0,5;9;2;2;1;"Chehov_Medved.csv";"Chehov"
"89";"Luka";0;0,5;9;2;2;1;"Chehov_Medved.csv";"Chehov"
"90";"Smirnov";0;0,5;8;2;2;1;"Chehov_Medved.csv";"Chehov"
"91";"Kuzma";0;0,0714285714285714;8;8;14;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"92";"Bortsov";1,95238095238095;0,0833333333333333;25;10;12;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"93";"Goloszadverju";0;0,0714285714285714;8;8;14;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"94";"Efimovna";0,285714285714286;0,0769230769230769;21;9;13;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"95";"Golosizugla";0,285714285714286;0,0769230769230769;21;9;13;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"96";"Fedja";4,28571428571429;0,0833333333333333;23;10;12;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"97";"MarjaEgorovna";0;0,0555555555555556;4;4;18;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"98";"Merik";1,95238095238095;0,0833333333333333;19;10;12;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"99";"Nazarovna";1;0,0714285714285714;17;8;14;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"100";"Savva";0,285714285714286;0,0769230769230769;21;9;13;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"101";"Kucher";0;0,05;2;2;20;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"102";"Tihon";6,95238095238095;0,0909090909090909;27;11;11;0,742424242424242;"Chehov_Na_bolshoi_doroge.csv";"Chehov"
"103";"Smotritel";0;0,333333333333333;3;3;3;1;"Chehov_Noch_pered_sudom.csv";"Chehov"
"104";"Gusev";0;0,333333333333333;3;3;3;1;"Chehov_Noch_pered_sudom.csv";"Chehov"
"105";"Zajtsev";0;0,333333333333333;3;3;3;1;"Chehov_Noch_pered_sudom.csv";"Chehov"
"106";"Zinochka";0;0,333333333333333;3;3;3;1;"Chehov_Noch_pered_sudom.csv";"Chehov"
"107";"Lakej";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"108";"Aplombov";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"109";"Kavalery";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"110";"";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
