play name	written	print	number of stages	len_stages_words	len_speeches_words	total_number_of_verbs	verbs set	number of unique verbs	stages_to_speeches_ratio	verb_diversity(uniqueverbs/totalverbs)	verbs_share_in_stages	av_stage_length
Неосторожность	1843	1843	272	2517	18251	244	расти,оставаться,опоминаться,отворяться,отходить,подбегать,толкать,гореть,падать,предлагать,отталкивать,смотреть,садиться,передразнивать,прислушиваться,дрожать,опираться,обнимать,вздрагивать,видеть,стоять,улыбаться,ходить,становиться,начинать,кричать,торить,давать,показываться,вскакивать,уходить,кивать,задумываться,представлять,наклоняться,силиться,идти,взлезать,собираться,стучать,отвечать,глядеть,отскакивать,вламываться,бежать,растворяться,останавливаться,угрожать,колебаться,прерывать,топнуть,являться,входить,вспыхивать,делать,удерживать,раздаваться,подымать,вставать,хотеть,смеяться,прижимать,протягивать,обнажать,приседать,трещать,выглядывать,оборачиваться,оглядываться,вздыхать,дождаться,кланяться,дожидаться,возрастать,подавать,умолять,убивать,крикнуть,выказываться,овладевать,приходить,умирать,задыхаться,осматриваться,изменяться,бросаться,перебивать,выхватывать,тянуться,схватывать,прятаться,всматриваться,возвращаться,зажимать,молчать,взглядывать,потуплять,выходить,подходить,догонять,сидеть,скрываться,приближаться,прихлопывать,ломать,прерываться,напевать,говорить,	108	0.13791025149306887	0.4426229508196721	0.09694080254270958	9.253676470588236
Русалка	1832	1837	45	356	5783	41	давать,кормить,оставаться,вставать,расходиться,показываться,бросаться,целоваться,уходить,осыпать,прятаться,падать,идти,садиться,отдавать,молчать,сымать,рвать,подходить,выходить,сидеть,прясть,скрываться,дарить,наливать,сыпаться,входить,говорить,	28	0.06155974407746844	0.6829268292682927	0.1151685393258427	7.911111111111111
Своя семья, или замужняя невеста	not specified in tei	1818	191	1277	19708	96	сказать,давать,вскакивать,вставать,обниматься,искать,качать,браться,уходить,испугаться,перебивать,отходить,увидеть,читать,приседать,научать,быть,падать,вертеть,вязать,идти,сажать,знать,вбегать,садиться,вести,возвращаться,любить,обнимать,танцевать,подавать,глядеть,прикалывать,выбегать,мотать,сделаться,подходить,останавливаться,улыбаться,сидеть,послушать,услуживать,перебегать,продолжать,звать,передавать,смеючиться,выносить,входить,плести,надевать,жениться,поглядывать,ловить,	54	0.06479602192003248	0.5625	0.07517619420516837	6.68586387434555
Смерть Иоанна Грозного	1866	1866	333	3223	33116	330	помолчать,оставаться,дергать,пощупать,отворяться,обращать,озираться,отходить,ронять,читать,падать,смотреть,класть,садиться,рассматривать,опираться,спорить,просить,обнимать,вздрагивать,преклонять,отступать,благословлять,усиливаться,размещаться,осматривать,стоять,разглядывать,ходить,волноваться,продолжаться,становиться,просматривать,начинать,ставить,отодвигаться,кричать,показываться,обниматься,опускаться,уходить,окидывать,задумываться,голосить,изнурять,велеть,идти,подыматься,вбегать,шататься,стучать,удаляться,глядеть,поддерживать,вечереть,бежать,останавливаться,пить,смущаться,вынимать,щупать,шептать,вырывать,писать,являться,подхватывать,наливать,заслоняться,входить,вспыхивать,делать,хватать,вырезываться,подымать,выступать,вставать,хотеть,смеяться,разбегаться,поклониться,отворачиваться,наполнять,расставлять,одевать,кланяться,взять,топать,надевать,подавать,подталкивать,сымать,обращаться,отклонять,петь,продолжать,закладывать,прикладываться,умирать,целовать,окружать,мерить,коситься,брать,бросаться,валить,отворять,схватывать,стараться,развертывать,начинаться,запыхаться,возвращаться,мять,молчать,рыдать,откладывать,выходить,подходить,сидеть,подвигать,нагибаться,драться,ударять,надзирать,столпляться,говорить,	126	0.09732455610580988	0.38181818181818183	0.10238907849829351	9.67867867867868
Недоросль	1781	1783	339	3022	30624	191	испугаться,отходить,подбегать,читать,обертываться,откланиваться,вскричать,отталкивать,смотреть,садиться,дрожать,обнимать,вырываться,грозить,осматривать,видеть,стоять,замахиваться,задрожать,становиться,начинать,бегать,уцепляться,усмехаться,кричать,держать,примести,давать,вскакивать,убегать,оправляться,задумываться,выпялить,быть,разнимать,идти,вбегать,насмехаться,крестить,работать,обробеть,глядеть,бежать,распечатывать,мигнуть,идучивать,вынимать,шептать,вырывать,писать,входить,запинаться,ловить,вставать,держаться,смеяться,заплакать,позвать,поклониться,протягивать,оправлять,перевертываться,посмотреть,иметь,вздыхать,оглядываться,вглядываться,взять,очинивать,подавать,выбегать,упасть,продолжать,вычислять,заслонить,затворять,сказывать,стоить,прощаться,доходить,очнуться,целовать,порываться,тосковать,мочь,брать,бросаться,схватывать,увидеть,удерживаться,всплескивать,отмахивать,запыхаться,остервениться,озлобиться,махнуть,узнавать,появляться,взглядывать,помогать,подходить,выходить,подвигать,манить,смеючиться,вкопать,соединять,ударять,останавливать,	109	0.09868077324973877	0.5706806282722513	0.06320317670416943	8.914454277286136
Гроза	1859	1860	297	2750	27952	256	помолчать,играть,прилегать,дергать,обращать,нести,целоваться,отходить,подбегать,растериваться,падать,отталкивать,смотреть,свистать,класть,садиться,передразнивать,прислушиваться,закрываться,обнимать,осматривать,стоять,видеть,улыбаться,подумать,становиться,начинать,потягиваться,зажмуриваться,держать,слышать,показываться,вскакивать,опускаться,убегать,качать,уходить,задумываться,покачать,увидать,кидаться,хвататься,идти,вбегать,шутить,приклоняться,собираться,стучать,глядеть,сердиться,растопыривать,бежать,притаиться,останавливаться,снимать,пойти,освобождаться,топнуть,входить,делать,прижиматься,хватать,подымать,вставать,хотеть,смеяться,сходить,посмотреть,отворачиваться,выглядывать,оборачиваться,вздыхать,оглядываться,ласкать,кланяться,взять,всходить,прятать,переставать,подавать,обращаться,петь,потупляться,продолжать,плакать,сконфузиться,гулять,стоить,запевать,целовать,раскланиваться,прогуливаться,брать,бросаться,прятаться,разрушаться,возвращаться,зевать,махнуть,потуплять,взглядывать,плевать,рыдать,подходить,выходить,сидеть,манить,высматривать,вскрикивать,	109	0.09838294218660561	0.42578125	0.09309090909090909	9.25925925925926
Царь Фёдор Иоаннович	1868	1868	337	3613	32295	303	оставаться,расходиться,дергать,опоминаться,доставать,вышивать,вытеснять,отходить,ронять,читать,падать,отталкивать,смотреть,класть,пробегать,садиться,прислушиваться,дрожать,опираться,обнимать,грозить,отступать,докладывать,благословлять,осматривать,стоять,расступаться,ходить,сторониться,становиться,просматривать,начинать,держать,выезжать,давать,показываться,вскакивать,наступать,опускаться,строить,убегать,качать,изорвать,уходить,потряхивать,задумываться,кидаться,голосить,затыкать,подписываться,идти,совещаться,вбегать,спрыгивать,глядеть,бежать,останавливаться,пить,смущаться,вынимать,вырывать,вписывать,являться,входить,удерживать,прикладывать,хватать,раздаваться,ехать,подымать,выступать,вставать,бить,хотеть,смеяться,сходить,вооружаться,трогаться,отворачиваться,оборачиваться,следовать,вести,кланяться,дожидаться,подавать,толпиться,выбегать,обращаться,петь,продолжать,плакать,приходить,прикладываться,скакать,стоить,целовать,направляться,брать,бросаться,отворять,выхватывать,увидеть,прятаться,отпивать,запылить,возвращаться,расхаживать,взглядывать,рыдать,заканчивать,подходить,выходить,протесняться,сидеть,скрываться,передавать,говорить,	117	0.11187490323579502	0.38613861386138615	0.08386382507611403	10.72106824925816
Дело	1861	1861	901	7704	39923	817	помолчать,замечать,оставаться,водворяться,уставляться,искать,кляняться,диктовать,расходиться,тесниться,молиться,оскорбляться,доставать,обращать,нести,сконфузить,ворочаться,отходить,подбегать,сниматься,порывать,читать,сетовать,отдуваться,застегиваться,обертываться,захлопывать,мешаться,нюхать,тыкать,составлять,горячиться,смотреть,класть,креститься,пробегать,садиться,двигаться,заливаться,прислушиваться,дрожать,рассматривать,решаться,сгибаться,говорить,обнимать,вырываться,вздрагивать,грозить,повертываться,подвигаться,подслушивать,докладывать,сморкаться,приниматься,углубляться,осматривать,стоять,отступать,улыбаться,ходить,рассыпаться,расставить,подумать,покрутить,укладывать,становиться,взволновать,спешить,начинать,ставить,стихать,размахнуть,усмехаться,обнюхивать,сверкнуть,приосаниться,кричать,держать,проталкиваться,козировать,давать,показываться,вскакивать,обниматься,наступать,пожимать,опускаться,усаживаться,качать,оправляться,сосчитывать,смешаться,уходить,потряхивать,задумываться,покачать,увидать,пятиться,окладывать,кидаться,бочить,пустеть,подступать,думать,складывать,силиться,идти,подыматься,слабеть,вбегать,вытягивать,наблюдать,хлопать,покачивать,чистить,собираться,удаляться,посматривать,глядеть,завертывать,поддерживать,бежать,трясти,останавливаться,усаживать,снимать,дышать,пить,тащить,вынимать,рваться,придвигать,щупать,забываться,подщуривать,расстраивать,писать,приостановиться,подхватывать,наливать,выносить,входить,вспыхивать,насыкаться,выпрямляться,делать,удерживать,хватать,подымать,сбираться,шипеть,срывать,выступать,вставать,бить,хотеть,остановиться,смеяться,лишаться,считать,браться,протягивать,переглядываться,преклоняться,шарить,махать,заваривать,сохранять,сдавать,оправлять,листовать,приседать,наклонять,посмотреть,смаковать,выглядывать,покачиваться,оборачиваться,потеряться,схватываться,вздыхать,оглядываться,ободряться,откидывать,предшествовать,расставлять,следовать,исчезать,вести,одевать,оттаскивать,кланяться,взять,отдавать,топать,смешать,подавать,подмаргивать,кидать,толпиться,выбегать,рвать,обращаться,петь,плестись,возвращать,продолжать,срываться,плакать,выворотить,стискивать,повертеться,приходить,сконфузиться,затворять,следить,утыкаться,кривить,осматриваться,целовать,порываться,спохватиться,тосковать,сливаться,тереть,обстоять,раскланиваться,хлопнуть,жаться,направляться,брать,бросаться,отворять,перебивать,хохотать,пошатываться,увидеть,ломиться,схватывать,поставлять,высовываться,вертеть,набивать,бродить,развертывать,всплескивать,вывертываться,приматься,возвращаться,оробеть,зевать,шелохнуться,сталкиваться,махнуть,ухватиться,молчать,взглядывать,ощупывать,плевать,припоминать,рыдать,помогать,заниматься,подходить,выходить,постоять,сидеть,размахиваться,разламывать,слушать,заикаться,передавать,напяливать,высматривать,ударять,надевать,напевать,качаться,закидывать,кашлять,жать,теснить,	283	0.1929714700799038	0.3463892288861689	0.10604880581516095	8.550499445061043
Предложение	1888	1889	73	490	6027	53	взвизгивать,пожимать,смеяться,целоваться,уходить,растрогать,перебивать,пошатываться,стараться,падать,хвататься,идти,вздыхать,подниматься,вбегать,обнимать,дразнить,ходить,пить,волноваться,трепать,плакать,поглядеть,кричать,входить,соединять,хватать,целовать,стонать,	29	0.08130081300813008	0.5471698113207547	0.10816326530612246	6.712328767123288
Разговор на большой дороге	1851	not specified in tei	105	1361	8147	151	помолчать,приподниматься,закутываться,доставать,ворочаться,щуриться,толкать,нюхать,приниматься,успевать,взволновать,потягиваться,сосать,кричать,отряхаться,сдерживать,сбрасывать,засорять,опускаться,оправляться,наклоняться,утихать,погонять,силиться,печь,успокаиваться,просыпаться,собираться,выпивать,гнуться,глядеть,останавливаться,прерывать,вынимать,выражаться,прислонять,шептать,расстраивать,подхватывать,расплыться,вспыхивать,запинаться,ехать,подымать,бить,стегать,протягивать,успокаивать,заставлять,закутывать,заваливаться,наклонять,иметь,оборачиваться,вздыхать,одевать,тащиться,кланяться,прятать,обращаться,петь,плестись,похрапывать,продолжать,умолкать,посвистывать,спать,заснуть,воцаряться,запевать,въезжать,сворачивать,кутаться,поправлять,передергивать,перебивать,сечь,страдать,кряхтеть,раскрываться,виться,стараться,развертывать,спотыкаться,брыкать,молчать,потуплять,взглядывать,откашливаться,плевать,сидеть,дремать,пощелкивать,встряхивать,загнать,кашлять,чмокать,говорить,	98	0.16705535780041733	0.6490066225165563	0.1109478324761205	12.961904761904762
Дядя Ваня	1896	1897	412	3829	21954	356	играть,оставаться,искать,рыться,доставать,целоваться,отходить,читать,гладить,кликать,кутать,смотреть,класть,садиться,прислушиваться,мешать,растягивать,прислоняться,обнимать,вздрагивать,грозить,осматривать,стоять,видеть,ходить,подумать,укладывать,волноваться,взволновать,становиться,ставить,смягчаться,кричать,слышать,сдерживать,давать,ошеломлять,нагрязнить,припадать,пожимать,настраивать,уходить,затягивать,кивать,покачать,думать,закручивать,идти,вбегать,хлопать,выпивать,стучать,нагибать,глядеть,перелистывать,бороться,стрелять,останавливаться,пить,освобождаться,писать,наливать,входить,отнимать,удерживать,делать,поцеловать,прижиматься,вставать,бить,хотеть,смеяться,протягивать,свистеть,укреплять,вязать,иметь,оборачиваться,склоняться,оглядываться,вздыхать,вести,кланяться,есть,звонить,будировать,подавать,прятать,мотать,петь,записывать,плакать,подсвистывать,вернуться,высыпаться,низать,стоить,прощаться,свертывать,погружаться,раздумывать,очнуться,целовать,смущать,полагать,брать,поправлять,оглянуться,растрогать,пошатываться,увидеть,стараться,лежать,сервировать,всматриваться,возвращаться,зевать,взглядывать,помогать,выходить,подходить,сидеть,дремать,сосчитать,слушать,подбочениться,ломать,наигрывать,вскрикивать,жать,говорить,	131	0.17441013027238772	0.36797752808988765	0.0929746670148864	9.29368932038835
Бригадир	1769	1786	165	1574	24467	105	давать,притворяться,вскакивать,вставать,выступать,оставлять,курить,смеяться,застыдиться,пасовать,осердиться,заглядывать,хохотать,шить,отходить,сдавать,подбегать,представлять,увидеть,схватывать,кидаться,иструситься,посмотреть,разнимать,вязать,всплескивать,вздыхать,смотреть,вскотать,садиться,вести,передразнивать,зевать,кобенясти,приставать,взглядывать,подавать,аплодировать,вслушиваться,видеть,стоять,жеманясти,кинуться,ходить,сидеть,выходить,подумать,пить,петь,продолжать,идучивать,становиться,плакать,раскладывать,придвигать,ставить,отдыхать,остановлять,шептать,ухватывать,услышать,входить,держать,оторопеть,шмыгать,говорить,	66	0.06433154861650386	0.6285714285714286	0.06670902160101652	9.539393939393939
Спор древних греческих философов об изящном	not specified in tei	1854	15	584	356	36	зеленеть,оставаться,выдвигать,направляться,отодвигать,куриться,представлять,быть,сближаться,приостанавливаться,отворачиваться,переставлять,смотреть,летать,опираться,откидываться,взглядывать,стоять,выходить,останавливаться,постоять,продолжать,разгорячиться,начинать,сосать,возлагать,направлять,изгибаться,доходить,закидывать,ползать,	31	1.6404494382022472	0.8611111111111112	0.06164383561643835	38.93333333333333
Волки и овцы	1875	1875	426	4067	45661	325	накинуть,приподниматься,застегнуть,диктовать,нести,читать,нюхать,смотреть,свистать,класть,садиться,рассматривать,прислушиваться,сгибаться,обнимать,грозить,осматривать,стоять,подумать,становиться,отодвигаться,давать,показываться,пожимать,опускаться,убегать,растворять,качать,сосчитывать,заглядывать,уходить,увидать,покачать,хвататься,идти,вбегать,вытягивать,выпивать,стучать,глядеть,вечереть,распечатывать,снимать,пить,вынимать,придвигать,наливать,входить,подымать,вставать,хотеть,смеяться,считать,отворачиваться,склоняться,вздыхать,одевать,вести,кланяться,взять,отдавать,звонить,прятать,подавать,разрывать,плакать,обижаться,посвистывать,затворять,погружаться,осматриваться,склонять,обессилевать,целовать,сажать,раскланиваться,полагать,брать,бросаться,отворять,хохотать,высовываться,развертывать,возвращаться,зевать,махнуть,взглядывать,выходить,подходить,слушать,щелкать,понюхать,поцеловаться,ударять,надевать,вскрикивать,жать,говорить,	98	0.08906944657366242	0.30153846153846153	0.0799114826653553	9.546948356807512
Моцарт и Сальери	1830	1831	17	124	2638	10	играть,входить,уходить,идти,пить,хохотать,	6	0.04700530705079606	0.6	0.08064516129032258	7.294117647058823
Трагик поневоле (Из дачной жизни)	1889	1889	16	191	3204	16	вынимать,читать,вскакивать,топать,гоняться,наступать,опускаться,кричать,входить,держать,петь,дышать,оглядываться,сидеть,поводить,	15	0.05961298377028714	0.9375	0.08376963350785341	11.9375
Свои люди – сочтемся	1849	1850	232	1932	33668	208	помолчать,давать,показываться,вскакивать,вставать,хотеть,опускаться,смеяться,доставать,вальсировать,сходить,считать,бросаться,целоваться,прижимать,уходить,хохотать,задумываться,отходить,подбегать,отказываться,читать,неуспокоиться,преследовать,вздыхать,идти,лезть,смотреть,класть,садиться,возвращаться,рассматривать,кланяться,зевать,охорашивать,отдавать,молчать,подавать,глядеть,рыдать,красться,стоять,подходить,бежать,ходить,сидеть,замахиваться,пить,усаживать,трепать,плакать,ворочать,просматривать,вынимать,бегать,ставить,деваться,скрываться,смотреться,становиться,шептать,наливать,выносить,кричать,входить,меблировать,делать,надевать,хватать,охорашиваться,целовать,	71	0.057383865985505524	0.34134615384615385	0.10766045548654245	8.327586206896552
Власть тьмы, или 'коготок увяз, всей птичке          пропасть'	1886	1887	604	6078	33458	644	ворчать,притворяться,светить,искать,дергать,отворяться,курить,доставать,обращать,приезжать,выть,происходить,отходить,читать,повертывать,толкать,отдуваться,падать,кликать,посмеиваться,рассуждать,сталкивать,отталкивать,смотреть,креститься,класть,садиться,тянуть,передразнивать,прислушиваться,дрожать,закрываться,прислоняться,обнимать,вырываться,вздрагивать,грозить,повертываться,разглядывать,приниматься,видеть,шептаться,стоять,улыбаться,сторониться,замахиваться,укладывать,оживляться,прясть,замирать,становиться,начинать,присаживаться,ставить,ржать,выталкивать,встряхиваться,разуваться,кричать,держать,повязываться,показываться,вскакивать,засучивать,убегать,качать,уходить,ткать,задумываться,представлять,складывать,быть,хвататься,затыкать,идти,подыматься,приглядываться,вбегать,просыпаться,перевивать,шататься,выпивать,работать,спрыгивать,глядеть,отвечать,поддерживать,завертывать,бежать,останавливаться,снимать,пить,тащить,трепать,трястись,скрипеть,шептать,закуривать,подхватывать,наливать,входить,отнимать,удерживать,делать,обувать,хватать,поглядывать,влезать,переменять,подзывать,вставать,проходить,хотеть,держаться,разгорячаться,смеяться,сходить,встречать,махать,мыть,одеваться,перевертываться,отворачиваться,выглядывать,вылезать,вязать,рычать,вздыхать,оглядываться,лезть,прикидывать,отдергиваться,хмуриться,спускаться,слезать,уезжать,кланяться,взять,есть,отдавать,сгребать,прятать,подавать,кидать,подталкивать,толпиться,выбегать,мотать,петь,обрывать,продолжать,плакать,выскакивать,спать,упираться,приходить,чинить,расслышать,стоить,цепляться,оторопеть,икать,кончать,бормотать,взвизгивать,ковырять,ложиться,жаться,смеркаться,выползать,возиться,брать,бросаться,отворять,перебивать,облокачиваться,подмигивать,замолкать,хныкать,выхватывать,схватывать,удерживаться,высовываться,вертеть,лежать,повесить,развертывать,всплескивать,подниматься,напирать,сопеть,возвращаться,зевать,разносить,подпоясываться,узнавать,молчать,взглядывать,раздеваться,плевать,отстранять,подходить,выходить,обуваться,сидеть,догонять,справляться,раздевать,слушать,разгорячиться,щелкать,скрываться,нагибаться,манить,отстраняться,ударять,надевать,останавливать,вскрикивать,говорить,	220	0.18166058939566024	0.3416149068322981	0.10595590654820665	10.062913907284768
Урок кокеткам, или липецкие воды	not specified in tei	1815	489	3086	28957	218	играть,оставаться,смягчать,позволять,происходить,испугаться,подбегать,отходить,ронять,толкать,нюхать,садиться,закрываться,опираться,обнимать,освещать,красться,осматривать,улыбаться,становиться,начинать,ставить,примечать,давать,показываться,настраивать,струсить,уходить,отдергивать,представлять,быть,хвататься,идти,отбегать,вбегать,встрестись,глядеть,отскакивать,бежать,останавливаться,пойти,прерывать,вынимать,шептать,наливать,выносить,входить,делать,поглядывать,сбираться,вставать,хотеть,выдумывать,смеяться,протягивать,вздыхать,оглядываться,впадать,вести,взять,кланяться,отдавать,оправиться,подавать,вслушиваться,приготовляться,продолжать,сжиматься,гулять,целовать,окружать,тереть,раскланиваться,мочь,спрятаться,брать,бросаться,оглянуться,отворять,облокачиваться,увидеть,упадать,предварять,возвращаться,зацеплять,взглядывать,помогать,выходить,подходить,сидеть,подвигать,отделять,надевать,напевать,вскрикивать,говорить,	96	0.10657181337845771	0.44036697247706424	0.07064160725858717	6.310838445807771
Свадьба	1889	1890	96	767	6109	79	играть,оставаться,вставать,наступать,отставать,усаживаться,считать,целоваться,уходить,растрогать,перебивать,махать,увидеть,воспользоваться,стараться,струшивать,хлопотать,идти,вздыхать,запыхаться,садиться,вести,кланяться,стучать,дрогнуть,освещать,докладывать,бежать,выходить,поперхнуться,пить,спешить,кашлять,наливать,расслышать,кричать,входить,вспыхивать,напевать,подражать,говорить,	41	0.12555246357832706	0.5189873417721519	0.10299869621903521	7.989583333333333
Провинциалка	1850	1851	313	3347	17188	312	помолчать,играть,замечать,оставаться,стареть,искать,дергать,оставлять,обращать,происходить,шить,комкать,отходить,читать,отталкивать,смотреть,класть,садиться,рассматривать,прислушиваться,передразнивать,прислоняться,вырываться,вздрагивать,повертываться,останавливать,видеть,улыбаться,ходить,расправлять,становиться,начинать,ставить,услышать,кричать,давать,показываться,вскакивать,встревожить,убегать,уходить,кивать,увидать,представлять,пробовать,перерывать,идти,просыпаться,глядеться,покачивать,посматривать,глядеть,бежать,растворяться,останавливаться,снимать,поглядеть,проталкивать,вспыхивать,выпрямляться,входить,делать,удерживать,прикладывать,поцеловать,раздаваться,переменять,вставать,хотеть,смеяться,браться,одушевляться,протягивать,вертеться,приседать,одеваться,посмотреть,скроить,выглядывать,восклицать,отворачиваться,оборачиваться,оглядываться,вздыхать,вглядываться,наморщивать,исчезать,одевать,кланяться,глянуть,переставать,подавать,вслушиваться,обращаться,петь,выказываться,продолжать,встрепенуться,упираться,швырять,следить,стоить,вылетать,погружаться,целовать,подождать,рисоваться,мочь,направляться,брать,поправлять,бросаться,прохаживаться,отворять,перебивать,схватывать,лежать,возвращаться,расхаживать,потуплять,взглядывать,откашливаться,аккомпанировать,выходить,подходить,сидеть,слушать,скрываться,приближаться,струхнуть,надевать,напевать,охорашиваться,говорить,	134	0.19472888061438212	0.42948717948717946	0.09321780699133553	10.69329073482428
Иванов	1888	1889	549	4786	30554	457	играть,приподниматься,оставаться,запивать,разучивать,рыться,вспылить,целоваться,подбегать,отходить,ронять,читать,гореть,падать,закатываться,шагать,смотреть,класть,садиться,закрываться,прислушиваться,дрожать,обнимать,вздрагивать,разодевать,останавливать,видеть,стоять,ходить,подумать,волноваться,потягиваться,мяться,кричать,давать,показываться,вскакивать,пожимать,уходить,кивать,увидать,задумываться,думать,затыкать,идти,отбегать,вбегать,шутить,касаться,хлопать,собираться,выпивать,глядеть,отвечать,вечереть,дразнить,бежать,бороться,прицеливаться,останавливаться,снимать,пить,вынимать,наливать,входить,вспыхивать,делать,прикладывать,хватать,вставать,бить,притушивать,хотеть,обходить,смеяться,протягивать,семенить,махать,поравняться,прыгать,выглядывать,вскрикивать,склоняться,тушить,оглядываться,вздыхать,застреливаться,вести,одевать,кланяться,подпрыгивать,прятать,подавать,переставать,выбегать,обращаться,петь,плакать,возмущаться,прыскать,задыхаться,оторопеть,целовать,здороваться,раскланиваться,направляться,брать,хохотать,циркулировать,перебивать,пошатываться,увидеть,гримасничать,поникать,лежать,всплескивать,запыхаться,всматриваться,возвращаться,зевать,сталкиваться,разносить,взглядывать,рыдать,отстранять,выходить,подходить,сидеть,крякать,слушать,щелкать,отделять,вкопать,напевать,кашлять,	135	0.15664070170845062	0.29540481400437635	0.09548683660676975	8.71766848816029
Балаганчик	1906	1906	38	1823	2588	144	помолчать,размечтаться,замечать,приподниматься,обращать,целоваться,подбегать,смотреть,класть,раскачиваться,опрокидывать,откидываться,вырываться,спрятать,освещать,видеть,стоять,оживать,улыбаться,оживляться,взволновать,начинать,испугать,нарисовать,кричать,перегибаться,висеть,вскакивать,опускаться,заиграть,убегать,лопнуть,уходить,улетать,наклоняться,кружиться,складывать,быть,распинать,идти,касаться,удаляться,торжествовать,врываться,обнаруживаться,теряться,светлеть,оттягивать,останавливаться,истекать,вытягиваться,поболтаться,вынимать,болтаться,шептать,просовываться,услыхать,хватать,прижиматься,вырезываться,выступать,серебриться,бить,хотеть,копошиться,застыдиться,смеяться,разбегаться,прыгать,вылезать,склоняться,вздыхать,чертить,колебать,душить,исчезать,вырастать,толпиться,взвиваться,повисать,петь,выскакивать,выкидывать,приходить,оказываться,следить,умирать,стоить,гнаться,склонять,очнуться,раздергиваться,прогуливаться,брать,бросаться,сдвигаться,сваливаться,прятаться,разронять,высовываться,лежать,полететь,бродить,подниматься,казаться,спотыкаться,молчать,появляться,заниматься,подходить,сидеть,взъерошивать,выкатить,всплескиваться,соединять,говорить,	116	0.7044049459041731	0.8055555555555556	0.07899067471201317	47.973684210526315
На большой дороге	1884	1914	213	1979	9045	193	приподниматься,оставаться,рыться,ежиться,доставать,располагаться,отходить,подбегать,толкать,дуть,захлопывать,падать,отталкивать,смотреть,класть,садиться,рассматривать,полулежать,осматривать,стоять,ходить,становиться,потягиваться,кашлять,кричать,держать,висеть,стонать,вскакивать,пожимать,убегать,качать,уходить,задумываться,переходить,представлять,идти,уступать,хлопать,собираться,стучать,укрываться,глядеть,отскакивать,бежать,расплачиваться,останавливаться,снимать,пить,поглядеть,вырывать,закуривать,наливать,выносить,входить,хватать,ловить,взмахивать,вставать,бить,хотеть,смеяться,махать,оборачиваться,тушить,вздыхать,развалиться,вглядываться,уезжать,одевать,вести,кланяться,отдавать,подавать,плакать,спать,подъезжать,сконфузиться,осматриваться,вытаскивать,ложиться,слышаться,хохотать,отворять,пошатываться,стараться,всплескивать,подниматься,растягиваться,узнавать,рыдать,отстранять,подходить,выходить,сидеть,высовывать,вкопать,наигрывать,вскрикивать,говорить,	100	0.21879491431730239	0.5181347150259067	0.09752400202122284	9.291079812206572
Скупой рыцарь	1830	1836	23	162	4600	14	подымать,стучать,подавать,хотеть,входить,выходить,бросаться,смотреть,уходить,всыпать,отымать,	11	0.035217391304347825	0.7857142857142857	0.08641975308641975	7.043478260869565
Театральный разъезд после представления новой          комедии	1842	1842	119	1273	18536	121	посторониваться,давать,показываться,весть,пожимать,отставать,сходить,заглядывать,уходить,подаваться,кивать,отходить,подбегать,толкать,пустеть,размахивать,рассуждать,сталкивать,припихивать,редеть,идти,смотреть,удерживать,вести,переворачивать,махнуть,узнавать,появляться,подавать,растопыривать,раздаваться,обращаться,бежать,выходить,подходить,продолжать,пропадать,переговариваться,пробираться,увеличиваться,подхватывать,входить,ударять,делать,надевать,целовать,говорить,	47	0.06867716875269746	0.3884297520661157	0.09505106048703849	10.697478991596638
Утро делового человека	1836	1836	27	342	2909	25	помолчать,накидывать,пожимать,уходить,увидеть,читать,вертеть,выглядывать,оборачиваться,развертывать,вздыхать,устремлять,вбегать,кланяться,звонить,выходить,оживляться,потягиваться,нацеплять,входить,ударять,	21	0.11756617394293571	0.84	0.07309941520467836	12.666666666666666
Снегурочка	1873	1873	229	3621	25131	309	играть,оставаться,расходиться,нести,зажмуриться,биться,рассеиваться,отходить,допевать,толкать,сближаться,падать,сыпать,смотреть,класть,садиться,рассматривать,дрожать,прислушиваться,говорить,обнимать,вырываться,приниматься,видеть,стоять,проваливаться,ходить,прясть,становиться,начинать,потягиваться,вызолачивать,кричать,сыпаться,показываться,прилетать,опускаться,завидеть,убегать,качать,оправляться,уходить,кивать,увидать,представлять,складывать,хвататься,разделяться,идти,покрываться,подыматься,касаться,поддерживать,благодарить,таять,бежать,снимать,пить,вынимать,пошатнуться,вырывать,угощаться,входить,прилипать,удерживать,прижиматься,подымать,вставать,хотеть,расписывать,сходить,оканчиваться,махать,выглядывать,вылезать,нестись,оборачиваться,меняться,ласкать,спускаться,униматься,исчезать,одевать,кланяться,отдавать,подавать,подталкивать,переставать,выбегать,упасть,приготовляться,повисать,обращаться,петь,плакать,гулять,порастать,набегать,целовать,окружать,запевать,светиться,ложиться,жаться,брать,бросаться,сходиться,потчевать,серебрить,прятаться,подставлять,стараться,подниматься,возвращаться,зевать,молчать,прибегать,цвести,плясать,выходить,подходить,сидеть,брусить,подвигать,догорать,прорезывать,передавать,манить,драться,водить,надевать,охорашиваться,засучивать,	133	0.1440849946281485	0.43042071197411	0.08533554266777134	15.812227074235809
